,Rating,Reviews,Ratings
17,3.9 out of 5,"Today 25th Oct 2020, I received my product. One week prior delivery than given date. Fast delivery. Connected to IPhone 6, the Aux, Bluetooth and usb port. Worked perfectly as mentioned. Bluetooth volume is a little higher than Aux volume. It is almost parallel to Panasonic ht 21. Bass enclosure is sturdy and satellite speakers are light. Sound quality is good and clear. Bass is nice and my room 12x20ft room is booming like speaker enclosure. For some english songs I have to reduce bass in my player app for appropriate good bass. So far everything goes well as anticipated. I can’t understand why such a nice product Akai has very little response in market. Perhaps Indians are more incline to Philips, Sony and Panasonic. In audio systems Akai is identical to Sony and I am using Akai music systems since 1981 when my father bought it for me",3.9
18,3.9 out of 5,"Wonderful product by Tronica, sound quality is good, value for money .don't buy any other brand simply go for this in price range
Jai made in india",3.9
19,3.9 out of 5,"Wonderful product by Tronica, sound quality is good, value for money .don't buy any other brand simply go for this in price range
Jai made in india",3.9
20,3.9 out of 5,"Wonderful product by Tronica, sound quality is good, value for money .don't buy any other brand simply go for this in price range
Jai made in india",3.9
21,3.9 out of 5,"Wonderful product by Tronica, sound quality is good, value for money .don't buy any other brand simply go for this in price range
Jai made in india",3.9
22,3.4 out of 5,"Product priced high as compared to it's competitors, also it's a Wired Unit, Optical Connection is poor and BT gets disconnected if not used for more than 5-10 minutes, I have bought this Unit and Not Really do feel so Happy for the Worthiness, Sorry I Would not Recommend it, Go For Better Options in the same price range",3.4
23,3.4 out of 5,"Product priced high as compared to it's competitors, also it's a Wired Unit, Optical Connection is poor and BT gets disconnected if not used for more than 5-10 minutes, I have bought this Unit and Not Really do feel so Happy for the Worthiness, Sorry I Would not Recommend it, Go For Better Options in the same price range",3.4
24,3.4 out of 5,"Product priced high as compared to it's competitors, also it's a Wired Unit, Optical Connection is poor and BT gets disconnected if not used for more than 5-10 minutes, I have bought this Unit and Not Really do feel so Happy for the Worthiness, Sorry I Would not Recommend it, Go For Better Options in the same price range",3.4
25,3.4 out of 5,"Product priced high as compared to it's competitors, also it's a Wired Unit, Optical Connection is poor and BT gets disconnected if not used for more than 5-10 minutes, I have bought this Unit and Not Really do feel so Happy for the Worthiness, Sorry I Would not Recommend it, Go For Better Options in the same price range",3.4
26,4.1 out of 5,It is very very bad product. I am very disappointed after purchase it. After purchase I use only 14days and it is stop working. After register complain both side Amazon & Philips customer care but still today above passed 2 month my problem not solved yet. They still arranging part which is faulty but not get it yet. Worst product & services. I am not not getting repair product or replacement after many time request to customer care. I suggest every one please Don't purchase.,4.1
27,4.1 out of 5,It is very very bad product. I am very disappointed after purchase it. After purchase I use only 14days and it is stop working. After register complain both side Amazon & Philips customer care but still today above passed 2 month my problem not solved yet. They still arranging part which is faulty but not get it yet. Worst product & services. I am not not getting repair product or replacement after many time request to customer care. I suggest every one please Don't purchase.,4.1
28,4.1 out of 5,It is very very bad product. I am very disappointed after purchase it. After purchase I use only 14days and it is stop working. After register complain both side Amazon & Philips customer care but still today above passed 2 month my problem not solved yet. They still arranging part which is faulty but not get it yet. Worst product & services. I am not not getting repair product or replacement after many time request to customer care. I suggest every one please Don't purchase.,4.1
29,4.1 out of 5,It is very very bad product. I am very disappointed after purchase it. After purchase I use only 14days and it is stop working. After register complain both side Amazon & Philips customer care but still today above passed 2 month my problem not solved yet. They still arranging part which is faulty but not get it yet. Worst product & services. I am not not getting repair product or replacement after many time request to customer care. I suggest every one please Don't purchase.,4.1
30,4 out of 5,This is a very good and beautiful product.on this price,4
31,4 out of 5,This is a very good and beautiful product.on this price,4
32,4 out of 5,This is a very good and beautiful product.on this price,4
33,4 out of 5,This is a very good and beautiful product.on this price,4
34,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
35,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
36,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
37,3.9 out of 5,"Sound quality is very bad and the sub starts cracking at volume 10 !! May be most of the reviews of this product are framed .. The subwoofer is a small 4 inch driver wih no base output, only low frequency noise.... I checked the product website and looks it to be a bogus one..

Request the potential buyers to stay away from this and look for different options. Unfortunately I bought this and there is no return policy ..

Definitely this is not a 80 watt amplifier ...",3.9
38,3.8 out of 5,"I like this product very much..
When i opened this, it was looking stunning..very good base,sound,etc...",3.8
39,3.8 out of 5,"I like this product very much..
When i opened this, it was looking stunning..very good base,sound,etc...",3.8
40,3.8 out of 5,"I like this product very much..
When i opened this, it was looking stunning..very good base,sound,etc...",3.8
41,3.8 out of 5,"I like this product very much..
When i opened this, it was looking stunning..very good base,sound,etc...",3.8
42,3.5 out of 5,This set of speakers are not suitable for music lovers . It pretty much drowns mid and high frequency rendering it just speakers for voice. Just boosting bass is not prefered by music lovers who love high frequency instruments. Overall its just a low quality speakers priced very high!,3.5
43,3.5 out of 5,This set of speakers are not suitable for music lovers . It pretty much drowns mid and high frequency rendering it just speakers for voice. Just boosting bass is not prefered by music lovers who love high frequency instruments. Overall its just a low quality speakers priced very high!,3.5
44,3.5 out of 5,This set of speakers are not suitable for music lovers . It pretty much drowns mid and high frequency rendering it just speakers for voice. Just boosting bass is not prefered by music lovers who love high frequency instruments. Overall its just a low quality speakers priced very high!,3.5
45,3.5 out of 5,This set of speakers are not suitable for music lovers . It pretty much drowns mid and high frequency rendering it just speakers for voice. Just boosting bass is not prefered by music lovers who love high frequency instruments. Overall its just a low quality speakers priced very high!,3.5
46,3.4 out of 5,"When the package arrived ,honestly I was disappointed with the sound.I conected with blue tooth option for my smart LED TV it was like just to hear I had to put ON the full volume & I was considering a return.Then I thought about all the reviews here and on youtube,I decided to go with another shot and buy a RCA to 3.5 mm and after the connection I realized the true potential of the BEAST (I mean it). For all who listening it on bluetooth you are not even getting half the sound.Try on a RCA-3.5MM you will see the difference.Doesn't even flutter on Full volume.Comming back to the sound quality it's simple awesome words can never define sound BUT you can't go wrong with this product.",3.4
47,3.4 out of 5,"When the package arrived ,honestly I was disappointed with the sound.I conected with blue tooth option for my smart LED TV it was like just to hear I had to put ON the full volume & I was considering a return.Then I thought about all the reviews here and on youtube,I decided to go with another shot and buy a RCA to 3.5 mm and after the connection I realized the true potential of the BEAST (I mean it). For all who listening it on bluetooth you are not even getting half the sound.Try on a RCA-3.5MM you will see the difference.Doesn't even flutter on Full volume.Comming back to the sound quality it's simple awesome words can never define sound BUT you can't go wrong with this product.",3.4
48,3.4 out of 5,"When the package arrived ,honestly I was disappointed with the sound.I conected with blue tooth option for my smart LED TV it was like just to hear I had to put ON the full volume & I was considering a return.Then I thought about all the reviews here and on youtube,I decided to go with another shot and buy a RCA to 3.5 mm and after the connection I realized the true potential of the BEAST (I mean it). For all who listening it on bluetooth you are not even getting half the sound.Try on a RCA-3.5MM you will see the difference.Doesn't even flutter on Full volume.Comming back to the sound quality it's simple awesome words can never define sound BUT you can't go wrong with this product.",3.4
49,3.4 out of 5,"When the package arrived ,honestly I was disappointed with the sound.I conected with blue tooth option for my smart LED TV it was like just to hear I had to put ON the full volume & I was considering a return.Then I thought about all the reviews here and on youtube,I decided to go with another shot and buy a RCA to 3.5 mm and after the connection I realized the true potential of the BEAST (I mean it). For all who listening it on bluetooth you are not even getting half the sound.Try on a RCA-3.5MM you will see the difference.Doesn't even flutter on Full volume.Comming back to the sound quality it's simple awesome words can never define sound BUT you can't go wrong with this product.",3.4
50,4.2 out of 5,"I got this 2.1 in big billion day sale for rs 1299/- , the speaker are loud enough for your indoor use, the base is not suprb but its is good as compared to its price. It is not possible to get a better deal than this at this price range. Over all the sound quality is good but a little distortion take place while playing musics from a high output source such as laptop on full volume.
The delivery was very late, it took about more than a week , there was no amazon packaging on the box it was just the box of f&d (same available in market) but the contents was in good condition and intact so no complains.
My verdict- go for it if u have a budget near about 1500rs.",4.2
51,4.2 out of 5,"I got this 2.1 in big billion day sale for rs 1299/- , the speaker are loud enough for your indoor use, the base is not suprb but its is good as compared to its price. It is not possible to get a better deal than this at this price range. Over all the sound quality is good but a little distortion take place while playing musics from a high output source such as laptop on full volume.
The delivery was very late, it took about more than a week , there was no amazon packaging on the box it was just the box of f&d (same available in market) but the contents was in good condition and intact so no complains.
My verdict- go for it if u have a budget near about 1500rs.",4.2
52,4.2 out of 5,"I got this 2.1 in big billion day sale for rs 1299/- , the speaker are loud enough for your indoor use, the base is not suprb but its is good as compared to its price. It is not possible to get a better deal than this at this price range. Over all the sound quality is good but a little distortion take place while playing musics from a high output source such as laptop on full volume.
The delivery was very late, it took about more than a week , there was no amazon packaging on the box it was just the box of f&d (same available in market) but the contents was in good condition and intact so no complains.
My verdict- go for it if u have a budget near about 1500rs.",4.2
53,4.2 out of 5,"I got this 2.1 in big billion day sale for rs 1299/- , the speaker are loud enough for your indoor use, the base is not suprb but its is good as compared to its price. It is not possible to get a better deal than this at this price range. Over all the sound quality is good but a little distortion take place while playing musics from a high output source such as laptop on full volume.
The delivery was very late, it took about more than a week , there was no amazon packaging on the box it was just the box of f&d (same available in market) but the contents was in good condition and intact so no complains.
My verdict- go for it if u have a budget near about 1500rs.",4.2
54,4.2 out of 5,"Superb Speakers, Very Nice bass and sound . well i purchased this on indian diwali festival sale for just Rs 1990 in a deal. even the bluetooth feature is really nice. actually i want to give 5 stars to the rating but giving 4 stars only because of speakers wires are really small. you need extra wires extention to mount it on all the corners of walls",4.2
55,4.2 out of 5,"Superb Speakers, Very Nice bass and sound . well i purchased this on indian diwali festival sale for just Rs 1990 in a deal. even the bluetooth feature is really nice. actually i want to give 5 stars to the rating but giving 4 stars only because of speakers wires are really small. you need extra wires extention to mount it on all the corners of walls",4.2
56,4.2 out of 5,"Superb Speakers, Very Nice bass and sound . well i purchased this on indian diwali festival sale for just Rs 1990 in a deal. even the bluetooth feature is really nice. actually i want to give 5 stars to the rating but giving 4 stars only because of speakers wires are really small. you need extra wires extention to mount it on all the corners of walls",4.2
57,4.2 out of 5,"Superb Speakers, Very Nice bass and sound . well i purchased this on indian diwali festival sale for just Rs 1990 in a deal. even the bluetooth feature is really nice. actually i want to give 5 stars to the rating but giving 4 stars only because of speakers wires are really small. you need extra wires extention to mount it on all the corners of walls",4.2
